parameter,age_group,outcome,baseline_parameter_value,tested_lower,tested_upper,baseline_outcome_mean,minimum_level_mean,maximum_level_mean,low_level_outcome_mean,high_level_outcome_mean,low_to_high_outcome_change,outcome_mean_spread,relative_outcome_spread,outbreak_probability_spread_percentage_points,outbreak_probability_low_to_high_change_percentage_points,raw_variance_across_level_means,monte_carlo_variance_of_level_mean,noise_adjusted_parameter_variance,mean_within_level_stochastic_variance,oat_total_predictive_variance,oat_parameter_variance_fraction,oat_stochastic_variance_fraction,parameter_signal_to_mc_noise,isolated_variance_screening_share,relative_parameter_variance_share_percent,sensitivity_rank
dt,1_to_4,final_week_cases,0.02,0.016,0.024,2.19,1.8866666666666667,2.19,2.0933333333333333,2.03,-0.06333333333333346,0.30333333333333323,0.13850837138508368,,,0.008132426303854868,0.007280746031746032,0.000851680272108836,2.1842238095238096,2.1850754897959184,0.0003897715553014515,0.9996102284446986,0.11697706092140536,0.0011835108322485017,0.11835108322485018,12.0
dt,1_to_4,outbreak_indicator,0.02,0.016,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dt,1_to_4,peak_weekly_cases,0.02,0.016,0.024,4.823333333333333,4.61,4.823333333333333,4.61,4.743333333333333,0.13333333333333286,0.21333333333333293,0.044229440221147116,,,0.0052027210884353576,0.006692804232804233,0.0,2.0078412698412698,2.0078412698412698,0.0,1.0,0.0,0.0,0.0,11.0
dt,25_to_34,cumulative_cases,0.02,0.016,0.024,16.313333333333333,15.776666666666667,16.37,16.213333333333335,16.016666666666666,-0.196666666666669,0.5933333333333337,0.036371066612178204,,,0.04055464852607713,0.06115425925925925,0.0,18.346277777777775,18.346277777777775,0.0,1.0,0.0,0.0,0.0,12.0
dt,25_to_34,final_week_cases,0.02,0.016,0.024,2.9,2.5866666666666664,2.9166666666666665,2.71,2.6866666666666665,-0.023333333333333428,0.33000000000000007,0.1137931034482759,,,0.012900680272108847,0.009847074074074072,0.0030536061980347747,2.954122222222222,2.9571758284202567,0.001032608940154239,0.9989673910598458,0.3101028970701541,0.004039713139842662,0.4039713139842662,12.0
dt,25_to_34,outbreak_indicator,0.02,0.016,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dt,25_to_34,peak_weekly_cases,0.02,0.016,0.024,4.973333333333334,4.793333333333333,5.07,5.07,4.83,-0.2400000000000002,0.2766666666666673,0.055630026809651595,,,0.007617233560090731,0.006923116402116401,0.00069411715797433,2.0769349206349204,2.0776290377928945,0.00033409099764590506,0.9996659090023542,0.10026079552297257,0.0010012637202115589,0.10012637202115589,12.0
dt,35_and_over,cumulative_cases,0.02,0.016,0.024,28.006666666666668,27.39666666666667,28.416666666666668,27.39666666666667,28.416666666666668,1.0199999999999996,1.0199999999999996,0.03641990002380384,,,0.0841265306122447,0.13076196296296297,0.0,39.22858888888889,39.22858888888889,0.0,1.0,0.0,0.0,0.0,12.0
dt,35_and_over,final_week_cases,0.02,0.016,0.024,5.0,4.74,5.176666666666667,4.74,5.113333333333333,0.3733333333333331,0.43666666666666654,0.0873333333333333,,,0.019339229024943283,0.01843330158730159,0.0009059274376416945,5.529990476190476,5.530896403628118,0.00016379396241221058,0.9998362060375878,0.04914623858081797,0.0005289393246926815,0.05289393246926814,12.0
dt,35_and_over,outbreak_indicator,0.02,0.016,0.024,0.0,0.0,0.0033333333333333335,0.0,0.0,0.0,0.0033333333333333335,3333333333.3333335,0.33333333333333337,0.0,1.3605442176870747e-06,1.5820105820105817e-06,0.0,0.0004746031746031745,0.0004746031746031745,0.0,1.0,0.0,0.0,0.0,2.0
dt,35_and_over,peak_weekly_cases,0.02,0.016,0.024,7.526666666666666,7.476666666666667,7.723333333333334,7.476666666666667,7.723333333333334,0.24666666666666703,0.24666666666666703,0.03277236492471219,,,0.008388662131519306,0.01232689417989418,0.0,3.698068253968254,3.698068253968254,0.0,1.0,0.0,0.0,0.0,11.0
